Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2016-08-13,2001: A Space Odyssey,1968,https://boxd.it/aPLh1,5,,"Just by virtue of the fact that I'm even attempting as I type to summarize or critique this film, it may already come across as condescending. Why? Because the one simple, undeniable fact is that ""2001"" stands for significantly more than any critic or historian could claim about it. So I find myself in this strange scenario; attempting to write about the film myself. In mounting this inevitably indifferent yet still meaningful task, I ask myself, ""how should I communicate my message?"" The message indeed, seems to be a simple one, the message indeed seems to be that ""2001"" is a transcendent work of art. You see, already it becomes a bit cliche, I find myself falling into the pitfalls of others. ""2001 is transcendent, 2001 is amazing,"" and so on. So I came to this conclusion, and the conclusion is that I could perhaps write the review in a way which represents the films ideas, and so I willfully considered writing this review entirely in morse code. I felt the need to write the review in a way which epitomizes the films very ideals of evolution and human change. ""Brilliant! It forces the reader to evolve their own sensibilities in order to read and understand my review, therefore i will myself be extending the films optimistic goals,"" as far as I was concerned. Then it hit me, like a spectacular apiphany which couldn't have even occurred to me until I took a step back and thought deeply. Even morse code couldn't possibly describe the film, nothing could; this film isn't a matter of words, but visuals, visuals that speak to us so much louder than any read calligraphy or type possibly could. It's about the balletic movement of the space stations, spinning their gears and practical structures in the same manner which a dancer spins their bodies, telling beautiful poems simply through the natural human perception of such gentle movement. And all in a sudden, the vastness of the universe is suddenly rendered true; true by the beauty of the orbit, the slow pace of the docking sequence. The Galaxy, the empty space, is suddenly felt, as if a previously transparent purse, has just opened its top, redefining the view one has of something perceived to be there, and yet couldn't possibly understand. This is just one example however, and the rest is equal in its beauty, and similar in its portrayal of the vast unknown universe. No matter what one can say about 2001, the truth is that by the end of the film, the audiences perception of the universe will be just a little bit larger.


<b>Real Rating: 10/5</b>",stanley kubrick,2010-11-13
2016-08-15,Dogtooth,2009,https://boxd.it/aRei5,4,Yes,"Hedge clippers, that's all you need to know",,2016-08-14
2016-08-15,Captain America,1990,https://boxd.it/aRi97,1,,"Would you please pull over, I think I'm going to be sick",,2016-08-14
2016-08-19,A Clockwork Orange,1971,https://boxd.it/aU85l,5,,"Well, what a film this is indeed. It's rare when a film truly jumps out of the screen it inhabits, elevating itself to a place of importance in the mind of it's viewer which is wholly undeniable. The film is violent, difficult, perhaps even wretched, and yet you keep watching. There's something there that's difficult to describe, but regardless of your moral views, it is there. ""A Clockwork Orange"" runs backwards and contradictory to itself, ultimately representing the title itself. 

After I finished watching the film for the first time, I was stunned, the film contains one of those endings in which, as the final frame closes, the entire weight of the film is undeniably felt. Then I had a revelation. I thought, ""what could this film have looked like being directed by anyone else besides Stanley Kubrick?"" It occurred to me, a typically dramatic director would read the script and immediately think, 

""hmm, well, this is the story of a vile, hateful psychopath who is denied his own justifiable punishment by society's political and moral dillusions."" Then they'd move on, ""how do we show our main character? Well, he's a violent psychopath, the audience couldn't possibly identify, the camera remains distant, his character is inscrutable; we don't so much follow him as much as we observe him. We see how Alex ruins the world around him, how all are innocent victims, and how he should be punished. What else could the film be?"" 
Then the director figures out what the tone should be, ""Well, dark, disturbing of course. Lots of darkness, lots of shadows, dark techno music, we see the inherent darkness of the world this story inhabits, the anarchy, the destruction."" So there you go, this film would be released, be praised by critics as the masterful story of a disturbed teen and the moral questions concerning his actions and lack of punishment. It would also probably win best picture and be called ""a modern classic"". The film would be forgotten due to its ultimately dull look and pace, lack of genuine style, and surface-level analysis. 

But, that didn't happen, Kubrick made it. The film was controversial and dangerous, and despite being generally upbeat and even humorous at times, is even darker than this alternate version I've proposed. Kubrick is smarter, more biting, more humorous, he sees how obviously the story could potentially be presented, and subverts it. The film doesn't observe Alex, it MAKES US ALEX. We see his victims as emotionless cutouts, older men and women whom we see at a distance. 

Just imagine, an alternate version of the infamous ""Singin' in the Rain"" rape scene, with an almost theatrical wide shot replaced with intensified close-ups of the victims, Alex leering disgustingly into their personal spaces; his slime completely evident, as a dark drone plays beneath the horror. But no, it's Singin' in the Rain, emotionless, dead, and all the more disturbing and self-reflective for it. That's the brilliance of Kubrick.",,2016-07-29
2016-08-20,Inception,2010,https://boxd.it/aUpgZ,5,,"A film as magical and imaginative as this comes around only once every so often, and therefore must be treasured and appreciated at the very least. Inception is without a doubt one of the best recent examples of REAL movie magic. Everything works as intended, and it works to marvelous, spectacular effect. The characters are drawn in precisely the way they must be, they're in the film to serve one purpose, and their purposes are utilitized. Some may argue that Inception lacks well written characters, and to this I argue; Inception really isn't about its characters. The characters are there, they are human, they are recognizable, but the fact is that this film is too busy for anymore characterization. This film's focus is the dream, the landscape of the dream, the psychology, the visuals, the complex heist set-up, and it's all so beautiful. This is a film about the human mind not as a practical object, but as a wonderous and endlessly inventive playground. And yet, despite all the seeming confusion, it is undeniably cohesive, exciting, and truly, truly magical, Inception is one of the most memorable Hollywood film experiences of the 21st century so far.",,2010-07-16
2016-08-20,Taxi Driver,1976,https://boxd.it/aUps7,5,,"The greatest example of the non-film, the non-spectacle, a film that deals itself purely in character and psychology rather than excitement or beauty. This is a dirty film, a rugged film, a film that asks a lot of you, the least of which is to simply endure it. And yet, once the film has ended, it's hard to forget the moral quandary that's laid on the watcher. Taxi Driver is a film where there are no clear moral or ethical answers, and while in some movies that could become heresy, in Taxi Driver its a miracle. This is a film that will make you rethink the nature of objectivity and subjectivity itself. What a memorable, odd, terrific; absolutely terrific film this is.",,2013-03-24
2016-08-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/aUIc3,5,,"The most visually brilliant and emotionally resonant representation of memories, dreams, and the theoretical complexity of the human mind. Michel Gondry's direction perfectly juxtaposes the naturalistic with the surreal in a subtle and effecting way. Charlie Kaufman's script is the real star though, coming across brilliantly in its complete exploration of the world and ideas it presents.",,2011-02-19
2016-08-20,Metropolis,1927,https://boxd.it/aUIKf,5,,"Metropolis is perhaps the greatest achievement in Epic filmmaking during the silent era, standing beside The Birth of a Nation (minus the racism of course) and Intolerance in their perfection of what would become the sprawling blockbusters we know today. What sets Metropolis apart however, is its scope and subject matter. The film is simply vast, with almost every scene bombarding the viewer with new, exciting, and beautiful productions to behold. For a film nearing 100 years old, the special effects are shockingly stylized and effective, perhaps not quite as convincing as those of today, but still appealing in their own strange way; the film makes it work. The story is constructed as a wonderous fable, full of large-scale societal/political issues, characters making huge decisions, and gigantic sets and spectacular effects used to bring them to life. Metropolis is transporting, even transcendent, it was Cinema's first leap into creating a world of fiction, one presented completely through visuals.",,2011-03-27
2016-08-20,Frances Ha,2012,https://boxd.it/aUJDz,3.5,,"A movie so devoid of any significant conflict, that it's characters' minor personal issues stand out even more. This is a film that begs to be called ""cute"" again and again and again. Greta Gerwig is amusingly beguiling as the title character in a movie with laughs occurring seemingly from everyday conversation, and dialogue so genuine and fraught with witty characteristics that the film deserves props simply for such a thing being done successfully. ""Did you see Frances Ha the other day? Wha'd you think of it."" ""Well, it was cute.""",,2013-08-19
2016-08-20,Beyond the Valley of the Dolls,1970,https://boxd.it/aUKqB,3,,Roger Ebert Goes Beyond,,2016-08-19
