Date,Content,Comment
2016-08-20,https://boxd.it/6vpgz,I concur
2016-08-23,https://boxd.it/aXIKF,"Wow, giving NBNW 3 stars; pretty damn ballsy"
2016-09-03,https://boxd.it/b2GoR,"Wow, North by Northwest 3/5, Vertigo only 4/5; must not be a huge Hitchcock fan"
2016-09-10,https://boxd.it/8HDbv,"Decided to watch the movie after reading this review, impressed you loved it so much, l thought it was a cute little love story, well-done for what it was. Not quite the acclaim you gave it. I'm more curious as to why ion loved it so much"
2016-09-13,https://boxd.it/Ez0P,"I love Letterboxd, and I find myself agreeing and if not appreciating the average number ratings of films; after all, the folks on this site are often very sharp and have fascinating opinions. This is why the 3.9 rating for E.T. was so shocking to me. I didn't realize so many people disliked this film simply due to it's sentimentality, even in spite of it's clear and powerful influence on modern cinema and pop culture."
2016-09-19,https://boxd.it/atuXZ,"Congratulations, you made me rethink my 4 1/2 star review of Annie Hall; and strongly so I might add"
2016-09-19,https://boxd.it/9eyob,"Also saw in 70mm of course, and I'll be damned if it's not impressive; one of the most beautiful films ever made, scratch that, THE most beautiful film ever made"
2016-09-19,https://boxd.it/6PHRX,The above statement is about 137.309% correct
2016-09-23,https://boxd.it/bnn4P,"This is perhaps too harsh a review, but I must admit, I'm in agreeance on almost everything you say, particularly about the movie's lack of a <i>point; </i>keyword here is <i>point. </i>I liked the film initially, but the more I think about it, the colder I realize it left me"
2016-09-23,https://boxd.it/fRxR,I think the truth about Forrest Gump is that it can LITERALLY be anything anybody wants it to be
2016-09-23,https://boxd.it/akv9,I laugh because it's true
2016-09-23,https://boxd.it/NiVe,"1. 2001: A Space Odyssey
2. Taxi Driver
3. Eternal Sunshine of the Spotless Mind
4. Metropolis
5. Star Wars (1977)"
